keyword,chapters
ITCZ,"Chapter_2, Chapter_3, Chapter_4, Chapter_5"
Indian Ocean,"Chapter_2, Chapter_3, Chapter_4, Chapter_5"
extratropical cyclones,"Chapter_2, Chapter_3, Chapter_4"
North Pacific,"Chapter_2, Chapter_3, Chapter_4, Chapter_5"
El Niño,"Chapter_2, Chapter_3, Chapter_4, Chapter_5"
ENSO variability,"Chapter_2, Chapter_3, Chapter_4"
IOB,"Chapter_2, Chapter_3"
North Atlantic climate,"Chapter_2, Chapter_4"
Global Ozone,"Chapter_2, Chapter_3, Chapter_4, Chapter_6"
Oceanography,"Chapter_2, Chapter_3, Chapter_4, Chapter_5"
CO2 concentration,"Chapter_2, Chapter_3, Chapter_4, Chapter_5"
SST anomalies,"Chapter_2, Chapter_3, Chapter_4"
austral summer,"Chapter_2, Chapter_3, Chapter_4"
subpolar North Atlantic,"Chapter_2, Chapter_3, Chapter_4"
Antarctic sea ice,"Chapter_2, Chapter_3, Chapter_4"
Gulf Stream,"Chapter_2, Chapter_3"
climate warming,"Chapter_2, Chapter_3, Chapter_4, Chapter_5, Chapter_6"
ENSO amplitude,"Chapter_2, Chapter_3"
Walker Circulation,"Chapter_2, Chapter_3"
Periglacial Processes,"Chapter_2, Chapter_5"
paleo reference periods,"Chapter_2, Chapter_3"
land cover change,"Chapter_2, Chapter_5"
last glacial period,"Chapter_2, Chapter_4"
industrialization,"Chapter_2, Chapter_5, Chapter_6"
NOAA,"Chapter_2, Chapter_5"
upper stratosphere,"Chapter_2, Chapter_3"
Interannual variability,"Chapter_2, Chapter_3, Chapter_4, Chapter_5, Chapter_6"
western,"Chapter_2, Chapter_5"
AOD,"Chapter_2, Chapter_6"
trend estimates,"Chapter_2, Chapter_6"
proxy reconstructions,"Chapter_2, Chapter_3"
SSTs,"Chapter_2, Chapter_3, Chapter_5"
tropical expansion,"Chapter_2, Chapter_3"
proxy data,"Chapter_2, Chapter_6"
in situ observations,"Chapter_2, Chapter_6"
extratropical jets,"Chapter_2, Chapter_3"
GSAT warming,"Chapter_2, Chapter_3, Chapter_4"
OSISAF,"Chapter_2, Chapter_3"
western Arctic Ocean,"Chapter_2, Chapter_5"
Fram Strait,"Chapter_2, Chapter_5"
m,"Chapter_2, Chapter_3"
Labrador Sea,"Chapter_2, Chapter_5"
seasonal variations,"Chapter_2, Chapter_3, Chapter_5"
amplitude,"Chapter_2, Chapter_3"
tropical Pacific,"Chapter_2, Chapter_3, Chapter_4, Chapter_5"
Atlantic multidecadal variability,"Chapter_2, Chapter_3, Chapter_4"
Hadley Circulation,"Chapter_2, Chapter_4"
global monsoon,"Chapter_2, Chapter_3, Chapter_4"
Russian Federation,"Chapter_2, Chapter_5"
atmospheric carbon dioxide,"Chapter_2, Chapter_5"
East Africa,"Chapter_2, Chapter_3, Chapter_6"
Eurasia,"Chapter_2, Chapter_3, Chapter_4, Chapter_6"
global ocean heat content,"Chapter_2, Chapter_3"
surface ocean pH,"Chapter_2, Chapter_4"
Miocene Climatic Optimum,"Chapter_2, Chapter_4"
oxygen content,"Chapter_2, Chapter_5"
atmospheric CO2 concentration,"Chapter_2, Chapter_3, Chapter_4, Chapter_5"
stratospheric water vapour,"Chapter_2, Chapter_6"
confidence level,"Chapter_2, Chapter_3, Chapter_4, Chapter_6"
boreal summer,"Chapter_2, Chapter_3, Chapter_4"
solar cycle,"Chapter_2, Chapter_3"
volcanic aerosols,"Chapter_2, Chapter_3, Chapter_4, Chapter_6"
reconstructions,"Chapter_2, Chapter_3, Chapter_6"
confidence interval,"Chapter_2, Chapter_3, Chapter_5, Chapter_6"
WMGHGs,"Chapter_2, Chapter_6"
HFCs,"Chapter_2, Chapter_6"
HCFCs,"Chapter_2, Chapter_6"
Hydrofluorocarbons,"Chapter_2, Chapter_6"
ozonesondes,"Chapter_2, Chapter_6"
lower troposphere,"Chapter_2, Chapter_3, Chapter_4, Chapter_5, Chapter_6"
spatial patterns,"Chapter_2, Chapter_3, Chapter_4, Chapter_5, Chapter_6"
global precipitation,"Chapter_2, Chapter_3, Chapter_4, Chapter_6"
structural uncertainty,"Chapter_2, Chapter_4, Chapter_6"
eastern,"Chapter_2, Chapter_3, Chapter_6"
osphere,"Chapter_2, Chapter_6"
global average,"Chapter_2, Chapter_4"
satellite products,"Chapter_2, Chapter_3, Chapter_6"
annual precipitation,"Chapter_2, Chapter_3"
precipitation trends,"Chapter_2, Chapter_3, Chapter_4"
CM,"Chapter_2, Chapter_3"
land precipitation,"Chapter_2, Chapter_4"
northern Africa,"Chapter_2, Chapter_5"
PDV,"Chapter_2, Chapter_3, Chapter_4"
eastern tropical Pacific,"Chapter_2, Chapter_5"
regional differences,"Chapter_2, Chapter_4, Chapter_6"
storm tracks,"Chapter_2, Chapter_3, Chapter_4"
wind speed,"Chapter_2, Chapter_6"
stratospheric polar vortex,"Chapter_2, Chapter_3, Chapter_4"
linear trend,"Chapter_2, Chapter_3"
sea ice cover,"Chapter_2, Chapter_4, Chapter_5"
upper ocean,"Chapter_2, Chapter_3, Chapter_5"
historical warming,"Chapter_2, Chapter_4, Chapter_5"
SIE,"Chapter_2, Chapter_3"
Alaska,"Chapter_2, Chapter_3, Chapter_5, Chapter_6"
Atlantic,"Chapter_2, Chapter_3, Chapter_4"
snow depth,"Chapter_2, Chapter_4"
Southern Ocean sea ice,"Chapter_2, Chapter_3"
Weddell Sea,"Chapter_2, Chapter_3"
Antarctic SIE,"Chapter_2, Chapter_3"
glacial periods,"Chapter_2, Chapter_5"
peatlands,"Chapter_2, Chapter_5"
ocean salinity,"Chapter_2, Chapter_3"
Drake Passage,"Chapter_2, Chapter_3"
water column,"Chapter_2, Chapter_3, Chapter_5"
primary production,"Chapter_2, Chapter_5"
productivity,"Chapter_2, Chapter_5"
distribution,"Chapter_2, Chapter_3, Chapter_6"
Pliocene Model Intercomparison Project,"Chapter_2, Chapter_3"
La Niña events,"Chapter_2, Chapter_3, Chapter_4"
Atlantic Niño,"Chapter_2, Chapter_3"
teleconnection patterns,"Chapter_2, Chapter_3"
ice age,"Chapter_2, Chapter_5"
Nature Geoscience,"Chapter_2, Chapter_4, Chapter_5, Chapter_6"
Interdecadal Pacific Oscillation,"Chapter_2, Chapter_3, Chapter_4"
Homogenization,"Chapter_2, Chapter_3"
Arctic amplification,"Chapter_2, Chapter_4"
Antarctic ice sheet,"Chapter_2, Chapter_4"
aerosol optical depth,"Chapter_2, Chapter_3, Chapter_6"
greenhouse warming,"Chapter_2, Chapter_3, Chapter_4"
Stratosphere,"Chapter_2, Chapter_3, Chapter_4"
Southeast Asia,"Chapter_2, Chapter_6"
meridional overturning circulation,"Chapter_2, Chapter_5"
Republic of Korea,"Chapter_2, Chapter_3, Chapter_4"
Stratospheric ozone,"Chapter_2, Chapter_6"
species composition,"Chapter_2, Chapter_5"
terrestrial,"Chapter_2, Chapter_5"
CO2 levels,"Chapter_2, Chapter_4, Chapter_5"
Northern Annular Mode,"Chapter_2, Chapter_3, Chapter_4"
Atlantic oceans,"Chapter_2, Chapter_5"
proxy,"Chapter_2, Chapter_3"
Sea level,"Chapter_2, Chapter_5"
glaciation,"Chapter_2, Chapter_5"
Atmospheric CO2,"Chapter_2, Chapter_4, Chapter_5"
Climate variability,"Chapter_2, Chapter_4, Chapter_5"
ERFs,"Chapter_2, Chapter_4, Chapter_6"
reconstruction,"Chapter_2, Chapter_3"
stratospheric aerosol optical depth,"Chapter_2, Chapter_3, Chapter_4"
global climate forcing,"Chapter_2, Chapter_6"
forcing,"Chapter_2, Chapter_3, Chapter_4, Chapter_5, Chapter_6"
ocene,"Chapter_2, Chapter_3, Chapter_4"
sampling resolution,"Chapter_2, Chapter_5"
CH4,"Chapter_2, Chapter_5, Chapter_6"
late Holocene,"Chapter_2, Chapter_5"
Atmospheric,"Chapter_2, Chapter_3, Chapter_4, Chapter_6"
standard deviation,"Chapter_2, Chapter_3, Chapter_4, Chapter_5, Chapter_6"
AGAGE,"Chapter_2, Chapter_5"
Annex III,"Chapter_2, Chapter_5, Chapter_6"
growth rate,"Chapter_2, Chapter_5"
atmospheric observations,"Chapter_2, Chapter_5"
tropical,"Chapter_2, Chapter_4"
ozone loss,"Chapter_2, Chapter_4"
tropospheric ozone changes,"Chapter_2, Chapter_6"
surface ozone,"Chapter_2, Chapter_4, Chapter_5, Chapter_6"
aircraft,"Chapter_2, Chapter_6"
Tropospheric Ozone Assessment Report,"Chapter_2, Chapter_6"
northern tropics,"Chapter_2, Chapter_6"
Indonesia,"Chapter_2, Chapter_5"
North Africa,"Chapter_2, Chapter_3, Chapter_6"
increased,"Chapter_2, Chapter_5, Chapter_6"
surface albedo,"Chapter_2, Chapter_5, Chapter_6"
irrigation,"Chapter_2, Chapter_5, Chapter_6"
volcanic,"Chapter_2, Chapter_3, Chapter_4"
forcings,"Chapter_2, Chapter_3"
glacier mass balance,"Chapter_2, Chapter_3"
heat content,"Chapter_2, Chapter_3"
global climate change,"Chapter_2, Chapter_3, Chapter_4, Chapter_5, Chapter_6"
instrumentation,"Chapter_2, Chapter_6"
SST biases,"Chapter_2, Chapter_3"
high,"Chapter_2, Chapter_4, Chapter_5, Chapter_6"
radiosonde datasets,"Chapter_2, Chapter_3"
lower,"Chapter_2, Chapter_5, Chapter_6"
radiosonde data,"Chapter_2, Chapter_3"
Eocene,"Chapter_2, Chapter_3"
monsoon areas,"Chapter_2, Chapter_3"
wetting trend,"Chapter_2, Chapter_3, Chapter_4"
regional variability,"Chapter_2, Chapter_4, Chapter_5, Chapter_6"
Global,"Chapter_2, Chapter_5, Chapter_6"
SST trends,"Chapter_2, Chapter_3"
eastern Asia,"Chapter_2, Chapter_4"
spatial variability,"Chapter_2, Chapter_5, Chapter_6"
temporal evolution,"Chapter_2, Chapter_3, Chapter_6"
spatial pattern,"Chapter_2, Chapter_3, Chapter_4, Chapter_5, Chapter_6"
subtropical regions,"Chapter_2, Chapter_3, Chapter_4"
streamflow,"Chapter_2, Chapter_3, Chapter_4, Chapter_6"
precipitation intensity,"Chapter_2, Chapter_3, Chapter_6"
South East Asia,"Chapter_2, Chapter_5, Chapter_6"
upper,"Chapter_2, Chapter_4"
monsoon precipitation,"Chapter_2, Chapter_3, Chapter_4"
GPCP,"Chapter_2, Chapter_3"
Proxy records,"Chapter_2, Chapter_4"
western North America,"Chapter_2, Chapter_3"
Aleutian Low,"Chapter_2, Chapter_3"
northward shift,"Chapter_2, Chapter_3, Chapter_4"
boreal winter,"Chapter_2, Chapter_3, Chapter_4"
tropical circulation,"Chapter_2, Chapter_3, Chapter_4"
DJF,"Chapter_2, Chapter_3, Chapter_4"
blocking frequency,"Chapter_2, Chapter_3, Chapter_4"
Greenland blocking,"Chapter_2, Chapter_4"
blocking events,"Chapter_2, Chapter_3"
polar vortex,"Chapter_2, Chapter_3"
SSW,"Chapter_2, Chapter_3"
remaining carbon budgets,"Chapter_2, Chapter_5, Chapter_6"
CMIP models,"Chapter_2, Chapter_3"
GMST warming,"Chapter_2, Chapter_3, Chapter_4"
crossing times,"Chapter_2, Chapter_4"
GS,"Chapter_2, Chapter_4"
central estimates,"Chapter_2, Chapter_4, Chapter_5, Chapter_6"
carbon budget estimates,"Chapter_2, Chapter_5"
GMST increase,"Chapter_2, Chapter_3, Chapter_4, Chapter_5"
2020,"Chapter_2, Chapter_6"
regional variations,"Chapter_2, Chapter_3, Chapter_6"
CMIP5 model simulations,"Chapter_2, Chapter_3"
Practical Salinity Scale 1978,"Chapter_2, Chapter_3"
subtropical gyres,"Chapter_2, Chapter_5"
South Africa,"Chapter_2, Chapter_4, Chapter_5"
overturning,"Chapter_2, Chapter_3"
subtropical cells,"Chapter_2, Chapter_5"
ACC,"Chapter_2, Chapter_3"
North Atlantic subpolar gyre,"Chapter_2, Chapter_4"
surface waters,"Chapter_2, Chapter_3, Chapter_4"
Pacific Ocean,"Chapter_2, Chapter_3, Chapter_4, Chapter_5"
oxygenation,"Chapter_2, Chapter_5"
Arabian Sea,"Chapter_2, Chapter_3, Chapter_5"
photosynthesis,"Chapter_2, Chapter_3, Chapter_5, Chapter_6"
growing,"Chapter_2, Chapter_5"
northern ecosystems,"Chapter_2, Chapter_3"
Phytoplankton,"Chapter_2, Chapter_5"
subtropics,"Chapter_2, Chapter_3, Chapter_4, Chapter_5"
South Korea,"Chapter_2, Chapter_6"
temperate forests,"Chapter_2, Chapter_5"
geographical distribution,"Chapter_2, Chapter_3, Chapter_6"
fidelity,"Chapter_2, Chapter_3, Chapter_4"
Canadian Arctic Archipelago,"Chapter_2, Chapter_5"
Tropical Pacific,"Chapter_2, Chapter_3"
NAO variability,"Chapter_2, Chapter_4"
ENSO variance,"Chapter_2, Chapter_3"
ENSO teleconnections,"Chapter_2, Chapter_3, Chapter_4"
Asian summer monsoon,"Chapter_2, Chapter_4"
decadal changes,"Chapter_2, Chapter_4"
paleo reconstructions,"Chapter_2, Chapter_3"
eastern Indian Ocean,"Chapter_2, Chapter_3"
Atlantic Zonal Mode,"Chapter_2, Chapter_3, Chapter_4"
tropical oceans,"Chapter_2, Chapter_3, Chapter_4, Chapter_5, Chapter_6"
northern continents,"Chapter_2, Chapter_3"
Indian Ocean Dipole,"Chapter_2, Chapter_3, Chapter_4"
Global Precipitation,"Chapter_2, Chapter_3"
Satellite Era,"Chapter_2, Chapter_3"
Arctic Monitoring and Assessment Programme,"Chapter_2, Chapter_6"
Last Ice Age,"Chapter_2, Chapter_5"
surface ocean acidification,"Chapter_2, Chapter_4, Chapter_5"
Northern Hemisphere blocking,"Chapter_2, Chapter_4"
Arctic Sea Ice,"Chapter_2, Chapter_3, Chapter_4"
last interglacial,"Chapter_2, Chapter_3"
last ice age,"Chapter_2, Chapter_5"
Solar forcing,"Chapter_2, Chapter_3, Chapter_4"
Atlantic Ocean overturning circulation,"Chapter_2, Chapter_3"
annual mean,"Chapter_2, Chapter_3"
Atlantic Multidecadal Oscillation,"Chapter_2, Chapter_3, Chapter_4"
tropical Pacific Ocean,"Chapter_2, Chapter_3, Chapter_6"
multidecadal variability,"Chapter_2, Chapter_3, Chapter_4"
South China Sea,"Chapter_2, Chapter_5"
overturning circulation,"Chapter_2, Chapter_3, Chapter_5"
tropical climate,"Chapter_2, Chapter_3"
walker circulation,"Chapter_2, Chapter_3"
warming hiatus,"Chapter_2, Chapter_3, Chapter_5"
Mechanisms,"Chapter_2, Chapter_4"
deep,"Chapter_2, Chapter_4, Chapter_5"
Central Pacific El Niño events,"Chapter_2, Chapter_3"
Forest Meteorology,"Chapter_2, Chapter_5, Chapter_6"
Hadley cell expansion,"Chapter_2, Chapter_3, Chapter_4"
Last,"Chapter_2, Chapter_3"
forced response,"Chapter_2, Chapter_3, Chapter_4"
Zika,"Chapter_2, Chapter_3"
Spatial patterns,"Chapter_2, Chapter_4"
Greenland Blocking Index,"Chapter_2, Chapter_3"
Climate sensitivity,"Chapter_2, Chapter_4"
temperature reconstructions,"Chapter_2, Chapter_3"
southern annular mode,"Chapter_2, Chapter_4"
Extended Reconstructed Sea Surface Temperature,"Chapter_2, Chapter_3"
Marine Systems,"Chapter_2, Chapter_4, Chapter_5"
Southern,"Chapter_2, Chapter_4"
Arctic sea ice thickness,"Chapter_2, Chapter_4"
Variability,"Chapter_2, Chapter_4"
dry regions,"Chapter_2, Chapter_3, Chapter_4"
Pacific Walker circulation,"Chapter_2, Chapter_3"
last deglaciation,"Chapter_2, Chapter_5"
Global Ocean Heat Content,"Chapter_2, Chapter_4"
Greenhouse Gas Forcing,"Chapter_2, Chapter_3, Chapter_4"
Multidecadal Variability,"Chapter_2, Chapter_4"
cience,"Chapter_2, Chapter_3, Chapter_4, Chapter_5"
Decadal variability,"Chapter_2, Chapter_5"
Bio,"Chapter_2, Chapter_4, Chapter_5"
Ice,"Chapter_2, Chapter_3"
Fyfe,"Chapter_2, Chapter_3, Chapter_4, Chapter_6"
Kingdom,"Chapter_2, Chapter_5"
Damon,"Chapter_2, Chapter_5"
Osprey,"Chapter_2, Chapter_4"
Italy,"Chapter_2, Chapter_6"
key climate indicators,"Chapter_2, Chapter_4"
Visual guide,"Chapter_2, Chapter_4"
greenhouse,"Chapter_2, Chapter_3, Chapter_6"
centennial time scales,"Chapter_2, Chapter_3, Chapter_4, Chapter_5"
ER,"Chapter_2, Chapter_6"
anthropogenic contribution,"Chapter_2, Chapter_3"
aerosol ERF,"Chapter_2, Chapter_4, Chapter_6"
Global Climate Change,"Chapter_2, Chapter_4"
GSAT estimates,"Chapter_2, Chapter_6"
Global land precipitation,"Chapter_2, Chapter_3, Chapter_4"
water vapour content,"Chapter_2, Chapter_3"
river runoff,"Chapter_2, Chapter_5"
extratropical storm tracks,"Chapter_2, Chapter_3, Chapter_4"
September,"Chapter_2, Chapter_4"
deglacial transition,"Chapter_2, Chapter_5"
Oxygen minimum zones,"Chapter_2, Chapter_3"
terrestrial biosphere,"Chapter_2, Chapter_5, Chapter_6"
Northern Hemisphere extratropics,"Chapter_2, Chapter_4"
future climate projections,"Chapter_2, Chapter_4"
chapter structure,"Chapter_2, Chapter_3"
observational products,"Chapter_2, Chapter_3, Chapter_5"
L,"Chapter_2, Chapter_3"
orbital forcing,"Chapter_2, Chapter_3, Chapter_5"
anthropogenic greenhouse gases,"Chapter_2, Chapter_3, Chapter_5"
Last Deglacial Transition,"Chapter_2, Chapter_5"
volcanic stratospheric aerosol,"Chapter_2, Chapter_3"
model estimates,"Chapter_2, Chapter_5, Chapter_6"
galactic cosmic rays,"Chapter_2, Chapter_6"
reconstructed,"Chapter_2, Chapter_3, Chapter_5"
Volcanic forcing,"Chapter_2, Chapter_3, Chapter_4"
550 nm,"Chapter_2, Chapter_3, Chapter_6"
Paleoclimate Modelling Intercomparison Project,"Chapter_2, Chapter_4"
eruptions,"Chapter_2, Chapter_4"
sulphate aerosols,"Chapter_2, Chapter_4, Chapter_6"
SO2 emissions,"Chapter_2, Chapter_6"
Satellite observations,"Chapter_2, Chapter_5, Chapter_6"
ocean sediments,"Chapter_2, Chapter_5"
ML,"Chapter_2, Chapter_3"
CO2 accumulation,"Chapter_2, Chapter_4, Chapter_5"
firn air,"Chapter_2, Chapter_5"
non-linear responses,"Chapter_2, Chapter_4"
1850,"Chapter_2, Chapter_5, Chapter_6"
glacial termination,"Chapter_2, Chapter_5"
global networks,"Chapter_2, Chapter_6"
measurement networks,"Chapter_2, Chapter_5"
total atmospheric lifetime,"Chapter_2, Chapter_6"
perturbation lifetime,"Chapter_2, Chapter_6"
surface,"Chapter_2, Chapter_5"
growth,"Chapter_2, Chapter_6"
Growth rates,"Chapter_2, Chapter_5"
time derivative,"Chapter_2, Chapter_5"
Hydrochlorofluorocarbons,"Chapter_2, Chapter_6"
atmospheric abundance,"Chapter_2, Chapter_5, Chapter_6"
industrial emissions,"Chapter_2, Chapter_5"
interannual climate variability,"Chapter_2, Chapter_3, Chapter_4"
IOB mode,"Chapter_2, Chapter_3, Chapter_4"
Sudden Stratospheric Warming,"Chapter_2, Chapter_3"
CH4 oxidation,"Chapter_2, Chapter_5"
Stratospheric Ozone,"Chapter_2, Chapter_6"
observational uncertainties,"Chapter_2, Chapter_3, Chapter_4, Chapter_6"
stratospheric ozone changes,"Chapter_2, Chapter_4, Chapter_6"
Surface ozone,"Chapter_2, Chapter_6"
global tropospheric ozone,"Chapter_2, Chapter_6"
remote surface sites,"Chapter_2, Chapter_6"
lower free troposphere,"Chapter_2, Chapter_6"
horizontal lines,"Chapter_2, Chapter_3"
southern tropics,"Chapter_2, Chapter_5"
global compilations,"Chapter_2, Chapter_5"
aerosol loadings,"Chapter_2, Chapter_6"
biogenic emissions,"Chapter_2, Chapter_5, Chapter_6"
black,"Chapter_2, Chapter_6"
continental Europe,"Chapter_2, Chapter_4"
R,"Chapter_2, Chapter_4, Chapter_6"
Ozone Monitoring Instrument,"Chapter_2, Chapter_6"
Southern Asia,"Chapter_2, Chapter_6"
Satellite data,"Chapter_2, Chapter_6"
biogeochemical effects,"Chapter_2, Chapter_5"
forest management,"Chapter_2, Chapter_3, Chapter_5"
carbon release,"Chapter_2, Chapter_4, Chapter_5"
leaf area,"Chapter_2, Chapter_5"
land,"Chapter_2, Chapter_5"
Effective Radiative Forcing,"Chapter_2, Chapter_6"
global annual mean,"Chapter_2, Chapter_3"
total,"Chapter_2, Chapter_5, Chapter_6"
negative ERF,"Chapter_2, Chapter_6"
positive ERF,"Chapter_2, Chapter_6"
radiation budget,"Chapter_2, Chapter_4, Chapter_5, Chapter_6"
Biogeochemical feedbacks,"Chapter_2, Chapter_5, Chapter_6"
ptions,"Chapter_2, Chapter_4"
polar jets,"Chapter_2, Chapter_4"
Seasonal snow cover,"Chapter_2, Chapter_3"
layer,"Chapter_2, Chapter_3"
feedbacks,"Chapter_2, Chapter_3, Chapter_4, Chapter_5, Chapter_6"
circulation changes,"Chapter_2, Chapter_4, Chapter_5, Chapter_6"
extratropics,"Chapter_2, Chapter_3, Chapter_4, Chapter_5"
GMST datasets,"Chapter_2, Chapter_3"
global SST,"Chapter_2, Chapter_4"
scaling,"Chapter_2, Chapter_4"
peak warming,"Chapter_2, Chapter_4, Chapter_5"
inverse modelling,"Chapter_2, Chapter_5, Chapter_6"
polar oceans,"Chapter_2, Chapter_4, Chapter_5"
sources,"Chapter_2, Chapter_6"
knowledge gap,"Chapter_2, Chapter_5"
central Europe,"Chapter_2, Chapter_4"
surface temperature variations,"Chapter_2, Chapter_3"
parametric uncertainties,"Chapter_2, Chapter_5"
GSAT trends,"Chapter_2, Chapter_3, Chapter_4"
ERA5 reanalysis,"Chapter_2, Chapter_3"
GMST trends,"Chapter_2, Chapter_3"
Instrumental Period,"Chapter_2, Chapter_3"
tropospheric temperatures,"Chapter_2, Chapter_3"
NH extratropics,"Chapter_2, Chapter_4"
upper tropical troposphere,"Chapter_2, Chapter_3"
vertical resolution,"Chapter_2, Chapter_3"
sampling uncertainty,"Chapter_2, Chapter_4"
warming rates,"Chapter_2, Chapter_4"
tropical upper troposphere,"Chapter_2, Chapter_3, Chapter_4, Chapter_6"
paleoclimate evidence,"Chapter_2, Chapter_4, Chapter_5"
Spatial heterogeneity,"Chapter_2, Chapter_5"
itudes,"Chapter_2, Chapter_3, Chapter_4"
regions,"Chapter_2, Chapter_3"
global land area,"Chapter_2, Chapter_4"
Low confidence,"Chapter_2, Chapter_4"
land precipitation anomalies,"Chapter_2, Chapter_4"
Maritime Continent,"Chapter_2, Chapter_3, Chapter_4"
regional precipitation trends,"Chapter_2, Chapter_4"
tropical land areas,"Chapter_2, Chapter_3"
GPCC,"Chapter_2, Chapter_3"
global land precipitation,"Chapter_2, Chapter_4"
limited in situ observations,"Chapter_2, Chapter_6"
global land,"Chapter_2, Chapter_3"
tropical precipitation,"Chapter_2, Chapter_3, Chapter_4"
salinity trends,"Chapter_2, Chapter_3"
Walker circulations,"Chapter_2, Chapter_3"
La Niña,"Chapter_2, Chapter_4, Chapter_5"
northward shifts,"Chapter_2, Chapter_3"
drought conditions,"Chapter_2, Chapter_5"
unanimity,"Chapter_2, Chapter_4"
southward shift,"Chapter_2, Chapter_3, Chapter_5"
global land monsoon precipitation,"Chapter_2, Chapter_3, Chapter_4"
zonal asymmetries,"Chapter_2, Chapter_4"
Hadley cell extent,"Chapter_2, Chapter_3"
central tropical Pacific,"Chapter_2, Chapter_4"
regional monsoon changes,"Chapter_2, Chapter_3, Chapter_4"
jet streams,"Chapter_2, Chapter_4"
equatorward shift,"Chapter_2, Chapter_4"
boreal autumn,"Chapter_2, Chapter_3"
regional changes,"Chapter_2, Chapter_3, Chapter_4, Chapter_6"
JJA,"Chapter_2, Chapter_4"
NAM,"Chapter_2, Chapter_3, Chapter_4"
methods,"Chapter_2, Chapter_5"
cyclone tracks,"Chapter_2, Chapter_3"
surface winds,"Chapter_2, Chapter_4"
Sea level pressure,"Chapter_2, Chapter_4"
non-,"Chapter_2, Chapter_5"
spatial features,"Chapter_2, Chapter_3"
austral winter,"Chapter_2, Chapter_3, Chapter_4"
surface wind,"Chapter_2, Chapter_3"
zonal winds,"Chapter_2, Chapter_3, Chapter_4"
Ukraine,"Chapter_2, Chapter_6"
Global surface air temperature,"Chapter_2, Chapter_4"
observed warming,"Chapter_2, Chapter_3"
AR5 assessment,"Chapter_2, Chapter_5"
vertical gradient,"Chapter_2, Chapter_5, Chapter_6"
oceanic regions,"Chapter_2, Chapter_5"
cloudiness,"Chapter_2, Chapter_3"
stratification,"Chapter_2, Chapter_3, Chapter_5"
SAT,"Chapter_2, Chapter_4"
HadISST,"Chapter_2, Chapter_3"
air temperature,"Chapter_2, Chapter_5"
HadCRUT4,"Chapter_2, Chapter_3, Chapter_5"
GSAT changes,"Chapter_2, Chapter_3, Chapter_4, Chapter_6"
warming rate,"Chapter_2, Chapter_4"
GMST changes,"Chapter_2, Chapter_3"
GSAT projections,"Chapter_2, Chapter_4, Chapter_5, Chapter_6"
error,"Chapter_2, Chapter_5"
North Pole,"Chapter_2, Chapter_5"
Pacific sector,"Chapter_2, Chapter_4, Chapter_5"
Arctic SIA,"Chapter_2, Chapter_4"
Antarctic sea ice cover,"Chapter_2, Chapter_3"
sea ice coverage,"Chapter_2, Chapter_4"
sea,"Chapter_2, Chapter_3"
Antarctic region,"Chapter_2, Chapter_3"
Antarctic SIA,"Chapter_2, Chapter_3"
standard error,"Chapter_2, Chapter_3, Chapter_5"
observational product,"Chapter_2, Chapter_3"
boreal spring,"Chapter_2, Chapter_3"
glacier recession,"Chapter_2, Chapter_3"
regional studies,"Chapter_2, Chapter_6"
paleo evidence,"Chapter_2, Chapter_4"
monitoring sites,"Chapter_2, Chapter_6"
thaw,"Chapter_2, Chapter_5"
seasonal variation,"Chapter_2, Chapter_5"
Arctic permafrost,"Chapter_2, Chapter_5"
thermokarst,"Chapter_2, Chapter_5"
Ocean Temperature,"Chapter_2, Chapter_3"
global ocean warming,"Chapter_2, Chapter_3"
western equatorial Pacific,"Chapter_2, Chapter_3"
CMIP5 model,"Chapter_2, Chapter_3, Chapter_4, Chapter_5"
central estimate,"Chapter_2, Chapter_4, Chapter_5, Chapter_6"
surface temperature changes,"Chapter_2, Chapter_3, Chapter_4"
Confidence,"Chapter_2, Chapter_3"
energy budgets,"Chapter_2, Chapter_3"
subtropical Atlantic,"Chapter_2, Chapter_4"
spatially,"Chapter_2, Chapter_6"
climatological mean salinity,"Chapter_2, Chapter_3"
subsurface salinity changes,"Chapter_2, Chapter_3"
observational estimates,"Chapter_2, Chapter_3, Chapter_6"
ventilation,"Chapter_2, Chapter_5"
Southern oceans,"Chapter_2, Chapter_3"
terrestrial water storage,"Chapter_2, Chapter_3, Chapter_5"
Circulation,"Chapter_2, Chapter_4"
Antarctic Bottom Water,"Chapter_2, Chapter_3, Chapter_5"
interglacial intervals,"Chapter_2, Chapter_5"
ocean variability,"Chapter_2, Chapter_4"
°N,"Chapter_2, Chapter_3"
upper overturning cell,"Chapter_2, Chapter_3"
poleward expansion,"Chapter_2, Chapter_3"
Bering Strait,"Chapter_2, Chapter_5"
mean meridional position,"Chapter_2, Chapter_3"
surface pH decline,"Chapter_2, Chapter_4, Chapter_5"
subsurface ocean,"Chapter_2, Chapter_4, Chapter_5"
thermocline,"Chapter_2, Chapter_3, Chapter_5"
deoxygenation,"Chapter_2, Chapter_5"
ocean oxygen content,"Chapter_2, Chapter_3"
oxygen loss,"Chapter_2, Chapter_5"
OMZs,"Chapter_2, Chapter_5"
Seasonal Cycle,"Chapter_2, Chapter_4"
In situ observations,"Chapter_2, Chapter_6"
boreal regions,"Chapter_2, Chapter_5"
carbon cycle dynamics,"Chapter_2, Chapter_5"
carbon uptake,"Chapter_2, Chapter_3, Chapter_4, Chapter_5"
primary productivity,"Chapter_2, Chapter_5"
